Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Arab World;ARB;Population, total;SP.POP.TOTL;96388069;98882541.4;101474075.8;104169209.2;106978104.6;109907857;112969031.8;116161856.2;119466968.6;122856355;126316205;129819126.4;133404108.3;137143931.3;141135661.4;145443899;150078440.5;155022936.6;160218250.2;165576262.2;171027980;176481435;182008152.8;187583425.5;193143326.1;198788522.5;204508632.3;210177684.4;215807039.3;221345358.9;228934760.9;234810743.8;238569688.5;244337858.8;250022134;257212476.1;262711323.5;268201185.3;273738137.7;279412270.5;285376280.3;291510926.2;297909066.6;304536241.9;311472852.8;318671217.4;326226096.1;334082117.5;342077516.1;350052799.6;357867176.9
East Asia & Pacific (all income levels);EAS;Population, total;SP.POP.TOTL;1045053409;1048188492;1062278887;1087665751;1112711799;1138812530;1168333823;1196946748;1225959970;1258516927;1291037644;1324582900;1356349166;1386577753;1416629116;1443832789;1468031941;1490920397;1513705507;1536893201;1559584999;1582984505;1608564121;1634077458;1658376399;1683363080;1710051142;1738253381;1766744889;1794572856;1821470245;1847037694;1870953842;1893951891;1916953413;1940016257;1962561732;1984666920;2005970993;2025967734;2044986903;2063254697;2080560567;2097030464;2112920584;2128532165;2143707714;2158440009;2172948104;2187190604;2201569787
East Asia & Pacific (developing only);EAP;Population, total;SP.POP.TOTL;899009466;898223251.8;909777048.6;932631492.6;955139418.8;978670261;1005795090;1032050326;1059302674;1088285730;1118205027;1148791992;1177667238;1205618216;1232078465;1256128662;1278336920;1298959875;1319545741;1340411623;1360902404;1381980178;1405322684;1428769228;1451192867;1474454686;1499443385;1526034312;1552925067;1579120263;1604404741;1628544768;1651083620;1672764972;1694312969;1715490343;1736358710;1757050090;1777061068;1795957680;1813787323;1830801612;1847023163;1862608056;1877766566;1892713990;1907093067;1920855865;1934402219;1947868123;1961557075
Euro area;EMU;Population, total;SP.POP.TOTL;260288079;262555135.1;265036511.5;267501170.7;269782752.9;272258926;274494208.7;276250008.7;277872857.7;279755172.5;281635189;283351091.7;285093351.1;286855255.9;288425121.5;289880683;291190124.2;292463963.1;293692828.2;294896117.7;296150940;297410078.8;298183255.8;298716952.8;299164663.8;299725716;300403975;301139996;302095834;303352172;304708869;306153775.4;307525664;308867378.6;309899710.7;310669023;311537706;312357860;313030187;313797240;315014558.8;316440215.6;318231185.2;320198828.7;322259053.6;324202166;325976778;327810899;329523510;330751615;331675464.4
Europe & Central Asia (all income levels);ECS;Population, total;SP.POP.TOTL;667818107;675680207.3;683812764.2;691766996.1;699596513.3;707353216;713951642.9;720068599.1;726324082.8;732570851.5;738001245;744121576.5;750277661;756268408.4;761974359.6;767437278;772782966.3;778087298.8;783321672.9;788454220.9;793757246.2;799109730.4;803888750.3;808441375.9;813208582.6;818138798;823061709.2;828012635.4;833066995.9;838030462;842404604;846164448.7;849294476.3;852321133.4;854287747.5;855681407.6;856812172.4;858163535.8;859114803.3;860187996.9;861942838.4;863507168.3;865427441.3;867865384.6;870555300.1;873393822.5;876270142;879660808;883446335;886943978.9;890200713.8
Europe & Central Asia (developing only);ECA;Population, total;SP.POP.TOTL;280774893;285194920;289623546.6;294079230.2;298476549.3;302770574;306351963.1;309857106.2;313601352.9;317202166.8;320339719;323907240.6;327641035.6;331198922.3;334771204.9;338271170;341862481.8;345439973.5;348965870.5;352461115;356083421.2;359727610.4;363330164.3;366909146.9;370750190.6;374638237;378435543.2;382245206.4;385945423.9;389270111;391814664;393966669.7;395314578.3;396435301.5;396976539.5;397259057.6;397448669.4;397684031.8;397808834.3;397830234.8;398415515.4;398486738.7;398328964.2;398480003.5;398711667.5;399131595.5;399699813;400624467;401949352;403474799.9;405093570.9
European Union;EUU;Population, total;SP.POP.TOTL;404998644;408598877.1;412342459.7;415918377.5;419437081.2;422990374;426164090.8;428944961.1;431923249.5;434907504.7;437133836;439891763;442478856.7;445069760.1;447450790.1;449715683;451792212.3;453838111.3;455764945.8;457542069.7;459435632;461275019.8;462542002.8;463566634.8;464560109.8;465689071;466902668;468145476;469607702;471182145;472804943;474459872.4;475657108;477137114.6;478346110.7;479222618;480113894;480949126;481622743;482421741;483425980.8;484339201.6;485928273.2;487994305.7;490239935.6;492443916;494540674;496775933;498979798;500696048;502087670.4
Heavily indebted poor countries (HIPC);HPC;Population, total;SP.POP.TOTL;169626033;173698379;177934131;182333448;186895133;191619244;196505021;201556002;206781345;212192894;217798342;223601442;229597777;235776623;242122572;248623950;255368879.2;262314788.4;269478862.9;276885128.8;284545627.5;292437897.3;300591840.4;309004369.3;317668199.1;326577264;335690515.2;345052622.6;354670386.1;364516708.1;374607430;385181109.3;395992424.3;407005476.1;418270113.6;429837518;441569043.1;453554105.2;465799566.4;478301634.9;491054247.5;504055110.2;517333548.3;530919957.7;544844030.4;559114859.2;573728611.4;588694299.2;604019867.3;619703692.6;635581283.6
High income;HIC;Population, total;SP.POP.TOTL;743206262;754280130.3;764107493.1;773589856;782984850.4;792194202;800624547;808554038.6;815553055.6;824475991.3;832555453;841551787.5;850030751;857816124.4;866593856.1;874995543.2;881893233.7;889196298.4;896574037.7;904198740.4;911571692;919194682.7;926198298.2;932733316;938907198.6;945099961.7;951458424.6;957749990.4;964256272.1;971276035.6;978884198;986686521.4;992658017.1;1000503810;1007714783;1016509624;1023256948;1030040571;1036479809;1042858110;1049546482;1056575302;1063913021;1071239147;1078970904;1086778570;1094983285;1103840539;1112556749;1120454525;1127002178
High income: nonOECD;NOC;Population, total;SP.POP.TOTL;30250955;31121181;32061754.45;32999466.1;33911892.3;34825332;35676431.1;36588840.7;37485330.75;38375591.6;39324999;40290992.36;41271545.84;42321230.76;43382532.14;44531778.25;45690838.26;46895491.04;48177968.31;49703325.48;51160569.98;52746084.69;54341932.25;55853036.04;57336755.62;58738142.67;60087252.6;61437048.44;62762001.09;64054890.6;65298218;66166549.42;65331403.75;66693322.31;67829253.48;70625030;71644430.96;72673570.78;73763225.24;74767066.98;75752608.62;77042694.13;78326195;79601484;81224038.06;83068199.66;85186414;87559552;90020187;92226047.93;94145916.32
High income: OECD;OEC;Population, total;SP.POP.TOTL;712955307;723158949.3;732045738.7;740590389.9;749072958.1;757368870;764948115.9;771965197.9;778067724.9;786100399.7;793230454;801260795.1;808759205.1;815494893.6;823211324;830463765;836202395.4;842300807.3;848396069.4;854495414.9;860411122;866448598;871856366;876880280;881570443;886361819;891371172;896312942;901494271;907221145;913585980;920519972;927326613.4;933810487.3;939885529.4;945884594;951612517;957367000;962716584;968091043;973793873;979532607.5;985586826.1;991637663.1;997746865.7;1003710370;1009796871;1016280987;1022536562;1028228477;1032856261
Latin America & Caribbean (all income levels);LCN;Population, total;SP.POP.TOTL;219297114;225526085.2;231948547.8;238510790.4;245138598.4;251780569;258418143.6;265063163.9;271753495.9;278548336.2;285490082;292582789.4;299808580.6;307167688.9;314641971.2;322220252;329905284.1;337687337.4;345553481.7;353466971.8;361410681;369441520.2;377446903.6;385472699;393529442.2;401605552;409708932.4;417823765.3;425927657.7;434014269.6;442054118;450014998;457926036.7;465801992.9;473663711.3;481521388;489386667.4;497234425.4;505186499.9;512846862.8;520355098.6;527737441.2;534976896.9;542074885.6;549059206.1;555935457.7;562701619;569349940;575917895.6;582446317.8;588974955.9
